s_no,error_type,username,user_id,osm_location_link,changeset_id,changeset_link,osm_object_type,osm_object_id,time_utc,country,detail
38,crossing buildings,Dannyoung,11010237,https://www.openstreetmap.org/#map=18/-0.362523/35.269658,189372542,https://www.openstreetmap.org/changeset/189372542,way,1561233916,2026-09-21T23:11:25Z,Kenya,outline crosses way 1561234282 (50% area overlap)
39,crossing buildings,Dannyoung,11010237,https://www.openstreetmap.org/#map=18/-0.362567/35.269722,189372542,https://www.openstreetmap.org/changeset/189372542,way,1561233917,2026-09-21T23:11:25Z,Kenya,outline crosses way 1561234283 (99% area overlap)
40,node connected highway and building,KingVik,7159298,https://www.openstreetmap.org/#map=18/-2.183392/30.092150,189372445,https://www.openstreetmap.org/changeset/189372445,node,14053248008,2026-09-21T23:06:01Z,Rwanda,shared by highway way 1545007424 and building way 1545007412
41,node connected highway and building,KingVik,7159298,https://www.openstreetmap.org/#map=18/-2.182000/30.091160,189372445,https://www.openstreetmap.org/changeset/189372445,node,14053247948,2026-09-21T23:06:01Z,Rwanda,shared by highway way 1545007428 and building way 1545007410
42,duplicated node,Dannyoung,11010237,https://www.openstreetmap.org/#map=18/-0.359441/35.259120,189372253,https://www.openstreetmap.org/changeset/189372253,node,14205268159,2026-09-21T22:55:52Z,Kenya,within 0.05m of node 14205268443
43,duplicated node,Dannyoung,11010237,https://www.openstreetmap.org/#map=18/-0.359324/35.259174,189372253,https://www.openstreetmap.org/changeset/189372253,node,14205268162,2026-09-21T22:55:52Z,Kenya,within 0.03m of node 14205268445
44,duplicated node,Dannyoung,11010237,https://www.openstreetmap.org/#map=18/-0.359692/35.259612,189372253,https://www.openstreetmap.org/changeset/189372253,node,14205268172,2026-09-21T22:55:52Z,Kenya,within 0.05m of node 14205268478
45,duplicated node,Dannyoung,11010237,https://www.openstreetmap.org/#map=18/-0.359434/35.259771,189372253,https://www.openstreetmap.org/changeset/189372253,node,14205268177,2026-09-21T22:55:52Z,Kenya,within 0.02m of node 14205268473
46,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010392/30.305358,189370907,https://www.openstreetmap.org/changeset/189370907,node,13679559262,2026-09-21T22:02:52Z,Rwanda,shared by highway way 1389052533 and building way 1492777557
47,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010392/30.305358,189370907,https://www.openstreetmap.org/changeset/189370907,node,13679559261,2026-09-21T22:02:52Z,Rwanda,shared by highway way 1389052533 and building way 1492777557
48,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010539/30.303535,189370907,https://www.openstreetmap.org/changeset/189370907,node,13679531791,2026-09-21T22:02:52Z,Rwanda,shared by highway way 1492777541 and building way 1492777564
49,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010539/30.303535,189370907,https://www.openstreetmap.org/changeset/189370907,node,13679531792,2026-09-21T22:02:52Z,Rwanda,shared by highway way 1492777541 and building way 1492777563
50,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.028631/30.334675,189370696,https://www.openstreetmap.org/changeset/189370696,node,13678636202,2026-09-21T21:54:57Z,Rwanda,shared by highway way 677675467 and building way 1492687095
51,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.026497/30.330774,189370696,https://www.openstreetmap.org/changeset/189370696,node,13678617132,2026-09-21T21:54:57Z,Rwanda,shared by highway way 677675468 and building way 1492685478
52,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.043211/30.355903,189370696,https://www.openstreetmap.org/changeset/189370696,node,13694739193,2026-09-21T21:54:57Z,Rwanda,shared by highway way 946132836 and building way 1494534820
53,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.023781/30.334158,189370696,https://www.openstreetmap.org/changeset/189370696,node,10593930669,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1136432904 and building way 1494117496
54,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.018073/30.325706,189370696,https://www.openstreetmap.org/changeset/189370696,node,10593951476,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1136434598 and building way 1493507787
55,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.023794/30.332215,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679004352,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1136435913 and building way 1492724086
56,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.025273/30.332959,189370696,https://www.openstreetmap.org/changeset/189370696,node,10593960857,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1136435915 and building way 1492724077
57,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.017262/30.326883,189370696,https://www.openstreetmap.org/changeset/189370696,node,10593983467,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1136437907 and building way 1493510044
58,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010392/30.305358,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679559262,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1389052533 and building way 1492777557
59,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010392/30.305358,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679559261,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1389052533 and building way 1492777557
60,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.037097/30.314449,189370696,https://www.openstreetmap.org/changeset/189370696,node,13689945344,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1389266968 and building way 1494095780
61,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010539/30.303535,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679531791,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492777541 and building way 1492777564
62,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010539/30.303535,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679531792,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492777541 and building way 1492777563
63,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.025547/30.340597,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679736605,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492811054 and building way 1492803067
64,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.024679/30.339056,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679736657,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492811056 and building way 1492803078
65,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.025879/30.341082,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679736557,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492811061 and building way 1492803060
66,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.024839/30.339155,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679736625,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492811064 and building way 1492803072
67,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.024544/30.339904,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679736660,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492811068 and building way 1492803079
68,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.038409/30.358496,189370696,https://www.openstreetmap.org/changeset/189370696,node,13682820984,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1493197230 and building way 1493190795
69,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.038573/30.359626,189370696,https://www.openstreetmap.org/changeset/189370696,node,13682820993,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1493197232 and building way 1493192772
70,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.038304/30.360617,189370696,https://www.openstreetmap.org/changeset/189370696,node,13682820996,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1493197234 and building way 1493192768
71,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.014892/30.314392,189370696,https://www.openstreetmap.org/changeset/189370696,node,13685158540,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1493468242 and building way 1493468236
72,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.018270/30.325843,189370696,https://www.openstreetmap.org/changeset/189370696,node,13685479152,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1493510042 and building way 1493507782
73,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.019265/30.352844,189370696,https://www.openstreetmap.org/changeset/189370696,node,13689995000,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1494104625 and building way 1494104369
74,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.020674/30.353522,189370696,https://www.openstreetmap.org/changeset/189370696,node,13690010016,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1494104626 and building way 1494104378
75,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.029451/30.343166,189370696,https://www.openstreetmap.org/changeset/189370696,node,13690224961,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1494119635 and building way 1494099184
76,overlapping highway,Cotelabarca,13042395,https://www.openstreetmap.org/#map=18/-33.384841/-71.119662,189369987,https://www.openstreetmap.org/changeset/189369987,way,126670675,2026-09-21T21:31:44Z,Chile,runs alongside existing way 1478472044 for 62% of its length
77,crossing buildings,AndreaL2009,21917650,https://www.openstreetmap.org/#map=18/-15.375184/28.387461,189379830,https://www.openstreetmap.org/changeset/189379830,way,1561271454,2026-09-22T06:00:38Z,Zambia,outline crosses way 1061651330 (16% area overlap)
78,crossing buildings,AndreaL2009,21917650,https://www.openstreetmap.org/#map=18/-15.376720/28.386423,189379830,https://www.openstreetmap.org/changeset/189379830,way,1561271457,2026-09-22T06:00:38Z,Zambia,outline crosses way 1061645069 (32% area overlap)
79,crossing buildings,AndreaL2009,21917650,https://www.openstreetmap.org/#map=18/-15.376720/28.386423,189379830,https://www.openstreetmap.org/changeset/189379830,way,1561271457,2026-09-22T06:00:38Z,Zambia,outline crosses way 1061645037 (9% area overlap)
80,node connected highway and building,Kaitlyn77,21917646,https://www.openstreetmap.org/#map=18/-15.390759/28.392937,189379805,https://www.openstreetmap.org/changeset/189379805,node,10214450125,2026-09-22T06:00:18Z,Zambia,shared by highway way 609187083 and building way 1116864540
81,node connected highway and building,Kaitlyn77,21917646,https://www.openstreetmap.org/#map=18/-15.389868/28.393698,189379805,https://www.openstreetmap.org/changeset/189379805,node,8838692834,2026-09-22T06:00:18Z,Zambia,shared by highway way 954930347 and building way 475814836
82,node connected highway and building,Kaitlyn77,21917646,https://www.openstreetmap.org/#map=18/-15.389772/28.393699,189379805,https://www.openstreetmap.org/changeset/189379805,node,8838692835,2026-09-22T06:00:18Z,Zambia,shared by highway way 954930348 and building way 475814836
83,node connected highway and building,Kaitlyn77,21917646,https://www.openstreetmap.org/#map=18/-15.364845/28.396899,189379805,https://www.openstreetmap.org/changeset/189379805,node,13124035999,2026-09-22T06:00:18Z,Zambia,shared by highway way 1083767798 and building way 1427603830
84,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.944216/85.541079,189376458,https://www.openstreetmap.org/changeset/189376458,way,593777776,2026-09-22T03:05:13Z,India,crosses way 1292355670 without a shared junction node
85,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.944367/85.541065,189376458,https://www.openstreetmap.org/changeset/189376458,way,593777776,2026-09-22T03:05:13Z,India,crosses way 1292355668 without a shared junction node
86,wrong tagging,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.940806/85.431878,189376148,https://www.openstreetmap.org/changeset/189376148,node,14205446403,2026-09-22T02:43:56Z,India,'railway=level_crossing' is not a recognised value for 'railway'
87,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.938172/85.487555,189376148,https://www.openstreetmap.org/changeset/189376148,way,1561252500,2026-09-22T02:43:56Z,India,crosses way 1561252504 without a shared junction node
88,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.938260/85.487515,189376148,https://www.openstreetmap.org/changeset/189376148,way,1561252500,2026-09-22T02:43:56Z,India,crosses way 1561252502 without a shared junction node
89,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941165/85.410392,189376148,https://www.openstreetmap.org/changeset/189376148,way,1561251431,2026-09-22T02:43:56Z,India,crosses way 1293404451 without a shared junction node
90,way end node near other way,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941620/85.423206,189376148,https://www.openstreetmap.org/changeset/189376148,node,14205431610,2026-09-22T02:43:56Z,India,0.01m from way 1293404457 but not connected to it
91,way end node near other way,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941165/85.410392,189376148,https://www.openstreetmap.org/changeset/189376148,node,14205431639,2026-09-22T02:43:56Z,India,0.00m from way 1293404451 but not connected to it
92,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941398/85.417621,189375921,https://www.openstreetmap.org/changeset/189375921,way,1561251431,2026-09-22T02:28:19Z,India,crosses way 1561252490 without a shared junction node
93,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941125/85.407763,189375676,https://www.openstreetmap.org/changeset/189375676,way,1293404451,2026-09-22T02:10:44Z,India,crosses way 1561251430 without a shared junction node
94,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941165/85.410392,189375676,https://www.openstreetmap.org/changeset/189375676,way,1293404451,2026-09-22T02:10:44Z,India,crosses way 1561251431 without a shared junction node
95,overlapping highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941692/85.395199,189375676,https://www.openstreetmap.org/changeset/189375676,way,1293404451,2026-09-22T02:10:44Z,India,runs alongside existing way 1561251429 for 100% of its length
96,node connected highway and building,ruph,88337,https://www.openstreetmap.org/#map=18/-1.275025/37.141226,189381147,https://www.openstreetmap.org/changeset/189381147,node,13469917351,2026-09-22T06:38:42Z,Kenya,shared by highway way 674622041 and building way 1468652942
97,feature mapped without primary tag,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.047522/30.379159,189382481,https://www.openstreetmap.org/changeset/189382481,node,14205792413,2026-09-22T07:16:20Z,Rwanda,tags present but none are a primary key: ['ford']
98,crossing highway,Divine ciel,24346661,https://www.openstreetmap.org/#map=18/-2.317797/30.175142,189386931,https://www.openstreetmap.org/changeset/189386931,way,1561299969,2026-09-22T08:56:37Z,Rwanda,crosses way 1560992650 without a shared junction node
99,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.056181/30.383428,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299922,2026-09-22T08:55:59Z,Rwanda,outline crosses way 1478769325 (100% area overlap)
100,building inside building,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.056162/30.383378,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299924,2026-09-22T08:55:59Z,Rwanda,fully contained with/containing way 1478769325
101,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.054005/30.383038,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299927,2026-09-22T08:55:59Z,Rwanda,outline crosses way 1478769343 (60% area overlap)
102,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.054034/30.383011,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299928,2026-09-22T08:55:59Z,Rwanda,outline crosses way 1478769343 (99% area overlap)
103,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.054236/30.382741,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299929,2026-09-22T08:55:59Z,Rwanda,outline crosses way 1478769348 (99% area overlap)
104,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.054168/30.382757,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299930,2026-09-22T08:55:59Z,Rwanda,outline crosses way 1478769348 (99% area overlap)
105,crossing buildings,Pan_Nug,17280926,https://www.openstreetmap.org/#map=18/43.356431/-81.525981,189386734,https://www.openstreetmap.org/changeset/189386734,way,1561299447,2026-09-22T08:53:00Z,Canada,outline crosses way 1561299583 (98% area overlap)
106,way end node near other way,Mtaalam,24271963,https://www.openstreetmap.org/#map=18/-6.476081/37.413336,189386519,https://www.openstreetmap.org/changeset/189386519,node,14205965385,2026-09-22T08:47:41Z,Tanzania,0.00m from way 1561298455 but not connected to it
107,crossing highway,Mtaalam,24271963,https://www.openstreetmap.org/#map=18/-6.476092/37.412659,189386481,https://www.openstreetmap.org/changeset/189386481,way,1561298885,2026-09-22T08:46:59Z,Tanzania,crosses way 1561298886 without a shared junction node
108,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.059416/30.382532,189390362,https://www.openstreetmap.org/changeset/189390362,way,1561310296,2026-09-22T10:03:16Z,Rwanda,outline crosses way 1478764065 (83% area overlap)
109,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.059372/30.382503,189390362,https://www.openstreetmap.org/changeset/189390362,way,1561310298,2026-09-22T10:03:16Z,Rwanda,outline crosses way 1478764065 (70% area overlap)
